do not give your info to third parties without your consent,friendly
do not give your data to third parties without your consent,friendly
We do not provide your info to third parties so that they can send you marketing materials without your consent,friendly
We do not provide your data to third parties so that they can send you marketing materials without your consent,friendly
We use your information to provide and personalize,friendly
We use your information to provide and personalise the services respond to queries and monitor use of our services,friendly
We use your data to provide and personalize,friendly
We use your info to provide and personalize,friendly
We use your info to provide and personalise the services respond to queries and monitor use of our services,friendly
We use your data to provide and personalise the services respond to queries and monitor use of our services,friendly
We may use your info to improve the services,friendly
We may use your data to improve the services,friendly
We may use your information to improve the services,friendly
We may use your info to improve the Services for analysis and reporting purposes and to offer you technical support or respond to your questions. This also includes using data to log any crashes in our provision of the Services so we may report such interruptions ,friendly
We may use your information to improve the Services for analysis and reporting purposes and to offer you technical support or respond to your questions. This also includes using data to log any crashes in our provision of the Services so we may report such interruptions ,friendly
We may use your data to improve the Services for analysis and reporting purposes and to offer you technical support or respond to your questions. This also includes using data to log any crashes in our provision of the Services so we may report such interruptions,friendly
marketing for services that we believe may be of interest,friendly
We use data about your use of the Services such as your high scores game rankings and avatars in order to provide marketing for Services that we believe may be of interest to you,friendly
We use information about your use of the Services such as your high scores game rankings and avatars in order to provide marketing for Services that we believe may be of interest to you,friendly
keep info only for as long as it is relevant,friendly
keep data only for as long as it is relevant,friendly
We will keep data only for as long as it is relevant and useful for the purpose for which it was originally collected and otherwise where required by law,friendly
GPS location from mobile devices is collected only with your permission,friendly
do not access user profile,friendly
may choose to opt out of notifications,friendly
may turn off GPS advisable to turn on,friendly
Uses your cookies,friendly
Stores your progress,friendly
Connect to your friends,friendly
Uses Internet,friendly
Post advertisements,friendly
may collect HTML5 local storage including in connection with features,friendly
safeguard and help prevent unauthorised access ,friendly
maintain data security ,friendly
correctly use the data we hold,friendly
correctly use the information we hold,friendly
We collect data about you and your use of our service your interactions with us and our advertising as well as information regarding your computer or other device used to access our service (such as gaming systems smart TVs mobile devices and set top boxes),unfriendly
We collect information about you and your use of our service your interactions with us and our advertising as well as information regarding your computer or other device used to access our service (such as gaming systems smart TVs mobile devices and set top boxes),unfriendly
may collect and store some or all of the following data shared by the provider of the connected third-party application,unfriendly
may collect and store some or all of the following information shared by the provider of the connected third-party application,unfriendly
collect and store billing address and credit card information,unfriendly
collect and store billing address and credit card info,unfriendly
third party payment processors may collect and store billing address and credit card info,unfriendly
third party payment processors may collect and store billing address and credit card information on our behalf or we may do this ourselves,unfriendly
our servers automatically record information including information that your browser sends whenever you visit a website or your mobile app sends when you are using it,unfriendly
our servers automatically record data including data that your browser sends whenever you visit a website or your mobile app sends when you are using it,unfriendly
our servers automatically record data including data that your browser sends,unfriendly
We may collect an email address a workspace name workspace photo domain details user namemailing address password,unfriendly
We collect information about the services that you use and how you use them,unfriendly
We collect information about the services that you use and how you use them like when you watch a video visit a website that uses our advertising services or view and interact with our ads and content,unfriendly
our servers automatically record information including information that your browser sends whenever you visit a website or your mobile app sends when you are using it,unfriendly
GPS location from mobile devices is collected,unfriendly
access user profile,unfriendly
post on user behalf,unfriendly
access user credit card,unfriendly
access user movements,unfriendly
access user camera,unfriendly
access microphone,unfriendly
share on your friends behalf,unfriendly
push notifications to user,unfriendly
the transmission of information by you to us is not completely secure,unfriendly
the transmission of data by you to us is not completely secure,unfriendly
we cannot guarantee the security of your data,unfriendly
may share your data with various third parties,unfriendly
You may be banned,unfriendly
You are not allowed to use,unfriendly
We reserve the right,unfriendly
We do not guarantee,unfriendly
We will not be liable for,unfriendly
not responsible for the following types of loss or damage which may arise from your use of the Services,unfriendly
may disclose your information to third parties,unfriendly
Data we may collect when you use our Services,unfriendly
Access to photos,unfriendly
Access to pictures,unfriendly
Saves your bank details,unfriendly
Saves your payment method,unfriendly
Save your SSN,unfriendly
Save your social security number,unfriendly
Post on behalf of you,unfriendly
Access to your personal messages,unfriendly
may collect information through local storage,unfriendly
Access to your personal contacts,unfriendly